0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
0,0,0,0,324,4,0,0,0,35,0,0,0,189,1,34,2194,149,2263,0,0,0,163,0,0,60,0,4,0,0,0,0,0,0,0,311,0,22,0,0,0,0,292,15,183,227,0,0,0,340,1,404,11,40,130,0,52,0,195,0,1,0,0,0,332,4,109,0,0,2370,68,0,0,0,0,61,0,184,0,122,0,0,601,317,0,0,0,14,0,470,0,1,0,196,0,0,0,93,159,90,0,0,0,0,1,0,0,0,0,0,14,0,11,59,0,0,0,0,0,28,34,0,2,303,0,9,1,0,26,0,77,186,521,6,43,100,0,0,0,36,7,11,58,0,0,0,0,34,0,0,35,496,0,427,119,41,0,8,0,0,399,0,31,0,27,644,25,4,1,83,0,0,0,31,0,0,173,293,0,1,0,29,237,0,0,137,0,224,0,15,0,0,15,0,24,0,5,9,573,221,0,0,460,182,0,0,0,0,192,0,0,2306,0,5,0,0,82,0,0,0,0,0,0,0,0,190,0,0,0,6,0,0,248,0,370,480,2,0,166,0,28,0,0,0,278,430,402,673,0,61,184,1,267,13,0,0
0,115,0,0,78,0,0,0,0,24,0,0,0,16,0,1,0,205,0,0,0,0,66,0,0,113,0,186,0,0,0,0,0,0,0,113,1759,87,0,1,0,0,174,20,198,190,0,0,97,11,0,1,0,45,26,0,113,0,12,0,0,12,0,0,232,106,44,0,0,0,0,0,0,0,0,0,0,359,7,25,0,0,254,72,0,1574,0,56,0,393,5381,150,0,94,0,3,1272,4,2,5,1,0,0,0,1,0,0,0,0,68,180,0,0,665,0,0,0,0,199,215,0,0,0,204,6665,0,0,0,472,0,0,10,36,0,61,144,16,0,0,0,0,0,21,0,0,0,0,106,0,0,0,16,2,289,195,463,0,0,0,0,300,0,24,0,0,290,194,177,0,0,1,0,0,0,0,0,25,37,0,4,0,0,194,0,17,171,0,282,0,1,0,0,7,0,0,0,0,0,281,467,0,15005,121,107,0,14,53,0,2,0,0,0,0,1,0,0,71,0,0,0,0,0,863,0,7054,138,0,69,0,88,0,0,278,0,265,3,15,0,37,3,343,69,0,0,9,16,134,0,0,0,124,0,3,0,0,46
0,824,0,0,21,0,0,0,0,4,0,5736,0,4,0,3,0,53,0,0,0,0,61,15584,0,286,0,124,0,0,5977,0,0,0,0,1,263,130,0,0,0,0,64,0,40,1,0,0,756,1,0,0,0,79,32,0,256,0,1,0,0,2,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,325,37,1,0,0,1,8,0,474,0,1,0,793,0,652,0,2,0,0,0,2,1,2,0,0,0,13232,1,0,8729,0,0,33,50,0,0,637,0,0,0,0,631,125,0,0,0,1,1,0,0,0,402,0,0,1,0,1,44,46,0,0,0,0,0,0,1,0,0,0,0,264,0,1,0,1,8,21,177,400,1,0,20367,0,10,0,15,0,0,600,133,0,0,0,0,0,0,0,0,0,2,147,0,13,0,0,286,0,0,50,0,433,0,0,0,0,0,19379,0,0,0,25,313,22,0,0,145,67,0,1983,4781,0,1,0,0,0,0,0,0,0,88,0,0,0,0,0,46,0,0,5,0,3,0,37,0,0,272,0,9,0,0,0,0,0,430,0,0,0,0,0,3,0,0,1,38,0,2,0,0,0
5381,0,0,0,295,1,0,0,0,16,0,0,0,254,2,626,0,273,0,10,0,0,109,0,0,1,0,3,0,0,0,0,0,0,0,221,0,6,0,0,0,0,67,80,261,132,0,0,0,348,129,129,5,20,205,0,51,0,42,0,0,0,0,8326,465,17,135,0,0,0,106,0,0,0,0,26,0,54,0,14,0,0,291,362,0,0,0,142,0,52,0,3,0,265,0,0,0,833,1,74,0,0,0,0,1,0,0,0,0,0,9,0,5,4,0,76,5,0,0,20,0,0,97,334,0,0,0,2044,2,0,36,56,8,347,18,41,0,0,3,49,1511,6,3,0,0,19,0,22,0,8,4,179,2,535,258,4,0,11,0,0,580,0,32,0,62,373,20,0,1776,114,0,0,0,47,0,0,758,331,0,42,0,2,106,0,0,184,6007,87,0,31,0,0,71,0,19,0,19,9,428,159,1,0,488,314,0,0,0,0,147,0,0,0,3,137,0,0,82,11,0,0,0,0,0,0,0,316,0,0,0,2,0,0,148,0,364,111,65,0,191,0,16,0,0,0,124,0,191,22,0,0,362,2,370,19,0,0
0,72,0,0,664,0,0,0,1716,847,4969,0,0,9,0,6,0,175,0,0,0,0,87,0,0,474,0,13,0,0,0,0,0,0,4154,8,0,1,0,10,0,0,34,2,133,14,12703,0,1,17,0,33,0,59,155,0,38,0,2,0,1967,122,0,0,119,4,8,0,0,0,0,0,0,0,0,0,0,252,0,32,0,4137,137,56,5,0,0,2,10852,663,0,0,0,84,0,0,0,123,1150,9,0,0,0,0,1,0,0,0,0,0,322,0,0,575,0,0,0,0,1,101,448,0,0,105,0,27,0,0,563,0,0,13,100,5,48,28,15,0,0,1,0,0,728,0,0,0,0,45,0,0,0,37,0,222,163,494,0,0,0,3367,171,0,7,3,0,505,25,82,0,1,0,0,109,0,0,10097,58,415,0,1,0,0,184,0,22,173,0,54,1,0,0,0,6,0,0,0,0,1,577,331,0,0,542,217,0,0,0,0,1,0,0,21,0,2,0,0,99,0,0,0,2,0,0,0,0,19,0,177,0,373,0,0,401,1454,156,9,0,0,20,0,84,15,0,0,1,138,119,2,0,818,102,0,3,0,0,1
0,739,0,0,147,0,0,0,0,3,0,4311,0,61,0,31,0,56,0,0,0,0,270,0,0,312,0,183,0,0,0,0,0,5,0,26,989,78,0,0,0,0,177,2,150,7,0,23727,701,1,0,1,0,176,117,16201,512,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,90,74,0,0,0,32,63,0,891,0,5,0,55,1,800,0,77,0,0,5,13,0,14,6,0,0,0,1,0,0,0,0,71,0,0,0,281,0,0,0,0,787,17,0,0,0,47,231,0,0,0,366,0,0,0,0,14,58,63,0,0,0,0,0,0,0,0,0,0,0,227,0,1,0,14,0,74,908,345,0,0,0,0,44,0,24,0,0,64,840,6,0,0,0,0,0,0,0,0,39,113,0,3,0,0,502,0,0,48,0,701,0,0,7645,0,0,0,0,0,0,253,71,239,0,0,528,42,0,698,932,0,2,5957,0,0,0,3,0,0,91,0,0,0,0,0,6,0,0,39,0,0,0,0,0,16795,11,0,154,0,2,0,97,0,17,4,0,0,2,0,109,0,0,0,120,0,0,0,0,1
0,65,0,0,65,5,0,0,0,309,33,0,0,39,13,16,69,169,5030,0,0,0,102,0,0,308,1,92,0,0,0,0,0,0,5,65,0,47,0,418,0,0,136,2,80,105,468,0,1,94,7,247,24,198,68,0,100,0,63,2,50,506,0,0,139,6,163,0,0,1720,11,0,0,0,0,10,0,316,0,486,0,17,290,107,103,0,0,2,5971,263,0,22,2,157,0,46,11,70,342,46,0,0,0,0,1,0,0,0,0,7,622,1,3571,449,0,1,5552,0,8,175,2279,0,0,58,0,3218,0,0,386,0,3,276,429,8,38,93,220,0,0,14,0,10,278,3,0,0,0,105,0,4,27,209,1,217,84,499,0,1,0,7,175,0,27,33,1,73,4,128,0,24,0,0,12937,19,0,13236,1,86,0,5,0,3,210,0,0,99,0,202,3,11,0,0,1,0,8,1,2,117,45,397,0,0,209,55,0,0,0,0,13,0,1,242,0,16,0,0,73,0,0,0,32,1,5,0,0,72,0,716,0,591,0,0,127,0,197,272,4,0,47,0,214,72,0,0,37,675,254,246,0,151,49,0,56,2,0,147
0,15,0,0,569,0,0,0,19,741,5927,0,0,9,0,1,76,241,1,0,0,0,80,0,0,544,0,14,0,0,0,0,0,0,3907,3,0,20,0,0,0,0,70,4,186,28,13127,0,0,66,0,132,0,144,122,0,71,0,2,0,76,0,0,0,183,2,10,0,0,40,1,0,0,0,0,0,0,55,0,77,0,4077,209,79,0,0,0,9,9869,464,0,5,0,87,0,0,0,23,1323,1,0,0,0,0,1,0,0,0,0,1,13,0,6,660,0,0,0,0,1,8,2399,0,0,159,0,2613,0,0,612,0,0,35,53,3,55,14,0,0,0,0,0,0,593,0,0,0,0,140,0,1,0,138,0,354,236,542,0,0,0,3456,228,0,29,3,0,774,19,0,0,6,0,0,1251,0,0,11019,263,415,0,2,0,1,236,0,0,193,0,147,0,0,0,0,11,0,0,0,0,4,751,344,0,0,348,339,0,0,0,0,5,0,0,75,0,2,0,0,82,0,0,0,0,0,0,0,0,53,0,1,0,1,0,0,296,1,241,56,0,0,20,0,35,1,0,0,5,88,163,8,0,956,201,0,11,1,0,0
0,0,0,0,310,133,0,0,0,0,0,0,0,223,1,0,0,182,0,101,0,726,235,0,0,4,0,0,0,0,0,0,0,0,0,215,0,33,0,0,0,10519,312,45,226,130,0,0,0,2,1,3,0,0,139,0,76,0,203,0,0,0,3242,0,392,17,22,0,0,0,122,9504,0,0,7233,125,0,178,0,0,0,0,267,211,0,0,0,69,0,84,0,0,2,222,0,0,0,10,0,176,0,0,0,0,1,0,0,0,0,0,9,0,0,4,0,41,0,0,0,39,0,0,0,246,0,0,0,0,4,0,121,0,0,5,69,112,0,0,87,100,0,0,0,0,0,163,0,45,0,11,12,196,0,483,69,6,8,0,0,0,467,0,27,0,254,301,35,1,0,11,0,0,0,104,481,0,346,299,0,2,0,175,366,0,0,178,0,338,0,155,0,0,95,0,28,0,100,0,291,51,0,0,555,201,0,0,0,0,184,0,0,0,0,30,4594,592,64,0,0,2,0,6,0,0,0,165,12436,0,0,5,0,0,150,0,374,0,19,0,199,0,40,3,0,0,197,0,165,0,0,0,192,570,126,95,0,0
0,0,0,0,10,62,0,4667,0,0,0,0,0,113,343,2,0,251,0,221,0,803,112,0,0,2,0,0,0,0,0,0,0,0,0,165,0,129,0,0,3689,0,239,114,200,123,0,0,0,15,0,10,126,0,56,0,228,0,32,0,0,7,1,0,435,82,10,0,0,0,140,0,0,0,0,16,0,83,0,1,0,0,208,232,0,0,0,149,0,458,0,0,42,250,0,0,0,2,0,135,0,1,5,0,1,0,0,0,0,0,32,0,0,7,0,197,0,0,0,143,0,0,1,317,0,0,67,0,3,0,17,0,5,0,92,191,0,0,110,63,0,15,0,0,0,655,0,204,0,23,55,107,3,556,186,11,39,32,0,0,451,0,34,12,142,413,34,0,0,26,0,0,0,95,678,0,163,17,0,24,0,39,205,0,0,120,0,423,0,22,0,0,109,0,54,0,26,2,351,199,19,0,56,250,0,0,0,0,99,0,0,0,62,134,0,945,50,0,2,1723,0,1735,0,0,0,131,0,9,0,6,0,0,234,0,211,0,44,3,164,3,151,5,3,0,68,1,145,1,29,0,269,889,45,49,0,0
