0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
0,0,0,0,344,4,0,0,0,37,0,0,0,200,0,56,2203,149,2238,0,0,0,160,0,0,40,0,3,0,0,0,0,0,0,0,303,0,24,0,0,0,0,292,15,190,236,0,0,0,355,1,418,11,45,131,0,45,0,201,0,1,0,0,0,352,4,107,0,0,2379,65,0,0,0,0,61,0,331,0,121,0,0,598,341,0,0,0,13,0,46,0,1,0,194,0,0,0,158,156,85,0,0,0,0,1,0,0,0,0,0,14,0,11,61,0,0,0,0,0,25,35,0,2,207,0,8,1,0,243,0,82,189,542,5,47,100,0,0,0,36,7,10,61,0,0,0,0,36,0,0,34,516,0,442,119,38,0,8,0,0,398,0,31,0,26,669,21,3,1,77,0,0,0,33,0,0,154,290,0,1,0,31,223,0,0,137,0,215,0,16,0,0,9,0,25,0,5,10,574,177,0,0,441,175,0,0,0,0,192,0,0,2302,0,5,0,0,83,0,0,0,0,0,0,0,0,194,0,0,0,7,0,0,310,0,354,476,0,0,164,0,34,0,0,0,272,429,390,668,0,61,194,1,270,13,0,0
0,252,0,0,103,0,0,0,0,19,0,0,0,16,0,1,0,203,0,0,0,0,70,0,0,76,0,173,0,0,0,0,0,0,0,114,1734,92,0,5,0,0,161,20,204,143,0,0,102,8,0,1,0,43,26,0,113,0,16,0,0,24,0,0,227,128,47,0,0,0,2,0,0,0,0,0,0,212,9,26,0,0,265,91,0,1601,0,51,0,330,5375,150,0,95,0,1,1275,19,2,5,1,0,0,0,1,0,0,0,0,66,178,0,0,662,0,0,0,0,213,220,0,0,0,200,6662,0,0,0,435,0,0,8,36,0,62,144,18,0,0,0,0,0,18,0,0,0,0,107,0,0,0,28,2,291,186,478,0,0,0,0,310,0,24,0,0,290,272,181,0,0,0,0,0,0,0,0,32,53,0,4,0,0,194,0,18,172,0,401,0,1,0,0,13,0,0,0,0,0,287,391,0,15008,122,109,0,12,49,0,2,0,0,0,0,1,0,0,71,0,0,0,0,0,841,0,7062,150,0,4,0,79,0,0,280,0,264,3,8,0,37,4,338,71,0,0,8,16,131,0,0,0,119,0,5,0,0,45
0,903,0,0,7,0,0,0,0,3,0,5749,0,4,0,3,0,51,0,0,0,0,55,15582,0,258,0,127,0,0,5975,0,0,0,0,0,275,130,0,0,0,0,70,0,44,1,0,0,844,1,0,0,0,75,31,0,252,0,1,0,0,1,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,498,34,1,0,0,1,24,0,430,0,1,0,38,0,637,0,3,0,0,0,2,1,1,0,0,0,13232,1,0,8729,0,0,32,53,0,0,636,0,0,0,0,637,114,0,0,0,2,1,0,0,0,823,0,0,1,0,1,45,46,0,0,0,0,0,0,0,0,0,0,0,269,0,1,0,3,4,19,180,385,1,0,20369,0,11,0,15,0,0,618,55,0,0,0,0,0,0,0,0,0,28,169,0,16,0,0,285,0,0,50,0,496,0,0,0,0,0,19382,0,0,0,25,355,41,0,0,124,67,0,1987,4780,0,1,0,0,0,0,0,0,0,89,0,0,0,0,0,45,0,0,5,0,10,0,37,0,0,242,0,9,0,0,0,0,0,433,0,0,0,0,0,4,0,0,1,37,0,2,0,0,0
5383,1,0,0,724,1,0,0,0,17,0,0,0,268,2,1123,0,272,0,11,0,0,98,0,0,3,0,3,0,0,0,0,0,0,0,195,0,6,0,0,0,0,79,80,271,140,0,0,0,340,126,139,5,22,208,0,52,0,46,0,0,0,0,8334,498,15,122,0,0,0,147,0,0,0,0,26,0,152,0,14,0,0,299,300,0,0,0,159,0,18,0,3,0,267,0,0,0,307,1,77,0,0,0,0,1,0,0,0,0,0,9,0,5,4,0,83,5,0,0,16,0,0,96,282,0,0,0,2050,1,0,43,60,8,340,19,41,0,0,3,48,1507,6,2,0,0,18,0,21,0,14,4,184,2,532,257,4,0,11,0,0,585,0,32,0,66,380,9,0,1781,110,0,0,0,47,0,0,247,329,0,34,0,5,108,0,0,185,5997,82,0,32,0,0,37,0,19,0,17,11,432,154,1,0,474,317,0,0,0,0,148,0,0,0,3,130,0,0,92,11,0,0,0,0,0,0,0,323,0,0,0,1,0,0,210,0,366,110,48,0,190,0,17,0,0,0,127,0,194,22,0,0,379,2,377,22,0,0
0,223,0,0,159,0,0,0,1714,792,4969,0,0,8,0,6,0,171,0,0,0,0,93,0,0,507,0,10,0,0,0,0,0,0,4155,7,0,1,0,21,0,0,41,2,129,12,12703,0,0,17,0,31,0,60,155,0,34,0,2,0,1974,155,0,0,117,4,8,0,0,0,2,0,0,0,0,0,0,502,0,35,0,4134,148,111,5,0,0,1,10859,498,0,0,0,85,0,0,0,357,1162,9,0,0,0,0,1,0,0,0,0,0,310,0,0,580,0,0,0,0,0,96,450,0,0,88,0,27,0,0,684,0,0,14,100,5,49,28,15,0,0,1,0,0,782,0,0,0,0,45,0,0,0,60,0,228,159,510,0,0,0,3371,196,0,7,3,0,516,105,82,0,1,0,0,110,0,0,10089,155,408,0,0,0,0,167,0,22,172,0,43,1,0,0,0,8,0,0,0,0,1,528,245,0,0,507,209,0,0,0,0,1,0,0,23,0,1,0,0,98,0,0,0,1,0,0,0,0,16,0,10,0,370,0,0,423,1454,146,9,0,0,20,0,93,15,0,0,1,137,117,2,0,724,95,0,3,0,0,1
0,850,0,0,90,0,0,0,0,3,0,4318,0,70,0,28,0,56,0,0,0,0,259,0,0,309,0,161,0,0,0,0,0,5,0,23,1010,86,0,0,0,0,181,2,146,2,0,23720,765,0,0,1,0,170,114,16209,492,0,0,0,0,0,0,0,44,2,0,0,0,0,0,0,0,0,0,0,0,306,87,1,0,0,33,146,0,884,0,6,0,2,1,780,0,79,0,0,5,39,0,15,7,0,0,0,1,0,0,0,0,77,0,0,0,284,0,0,0,0,798,20,0,0,0,37,242,0,0,0,203,0,0,0,0,13,59,64,0,0,0,0,0,0,0,0,0,0,0,245,0,1,0,29,0,92,924,365,0,0,0,0,42,0,24,0,0,67,439,4,0,0,0,0,0,0,0,0,69,111,0,3,0,0,499,0,0,48,0,616,0,0,7648,0,1,0,0,0,0,257,74,367,0,0,543,41,0,665,893,0,2,5957,0,0,0,2,0,0,91,0,0,0,0,0,5,0,0,41,0,0,0,0,0,16791,45,0,147,0,2,0,99,0,19,4,0,0,2,0,120,0,0,0,141,0,0,0,0,2
0,169,0,0,7,5,0,0,0,318,33,0,0,41,13,22,68,167,5034,0,0,0,104,0,0,300,1,69,0,0,0,0,0,0,5,61,0,44,0,548,0,0,139,2,76,100,467,0,1,87,5,248,25,198,67,0,96,0,64,2,49,511,0,0,141,2,163,0,0,1757,13,0,0,0,0,9,0,274,0,471,0,15,292,160,103,0,0,1,5950,642,0,21,2,158,0,60,12,98,334,45,0,0,0,0,1,0,0,0,0,7,580,1,3560,447,0,1,5560,0,8,179,2282,0,0,43,0,3216,0,0,382,0,3,269,428,6,39,90,220,0,0,13,0,10,257,2,1,0,0,104,0,4,29,241,1,240,83,487,0,1,0,7,185,0,27,32,1,84,18,137,0,24,0,0,12931,19,0,13238,30,87,0,7,0,3,207,0,0,98,0,210,4,12,0,0,7,0,7,1,2,117,40,325,0,0,198,64,0,0,0,0,13,0,1,239,0,12,0,0,72,0,0,0,54,1,5,0,0,77,0,86,0,599,0,0,151,0,180,277,4,0,47,0,220,73,0,0,36,685,258,248,0,158,61,0,56,3,0,178
0,92,0,0,506,0,0,0,20,690,5926,0,0,10,0,1,69,241,1,0,0,0,90,0,0,592,0,9,0,0,0,0,0,0,3907,4,0,21,0,0,0,0,70,4,185,21,13124,0,0,63,0,117,0,141,125,0,69,0,2,0,75,0,0,0,174,1,12,0,0,38,3,0,0,0,0,0,0,365,0,81,0,4087,212,124,0,0,0,9,9867,34,0,5,0,88,0,0,0,131,1348,1,0,0,0,0,1,0,0,0,0,1,13,0,6,666,0,0,0,0,1,8,2385,0,0,93,0,2624,0,0,668,0,0,36,55,2,55,14,0,0,0,0,0,0,639,0,0,0,0,138,0,0,0,191,0,370,228,605,0,0,0,3459,245,0,30,3,0,793,13,0,0,4,0,0,1257,0,0,11019,171,424,0,2,0,1,209,0,0,191,0,132,0,0,0,0,8,0,0,0,0,4,745,262,0,0,315,318,0,0,0,0,7,0,0,77,0,1,0,0,84,0,0,0,0,0,0,0,0,53,0,0,0,2,0,0,414,1,228,59,0,0,19,0,36,1,0,0,6,87,169,5,0,881,186,0,11,1,0,0
0,0,0,0,369,136,0,0,0,0,0,0,0,228,1,1,0,183,0,101,0,727,224,0,0,0,0,0,0,0,0,0,0,0,0,213,0,33,0,0,0,10519,317,46,236,144,0,0,0,2,1,5,0,0,139,0,68,0,223,0,0,0,3242,0,405,21,22,0,0,0,120,9504,0,0,7233,125,0,324,0,0,0,0,276,174,0,0,0,77,0,18,0,0,2,222,0,0,0,63,0,172,0,0,0,0,1,0,0,0,0,0,9,0,0,4,0,43,0,0,0,35,0,0,0,192,0,0,0,0,8,0,126,0,0,5,70,113,0,0,85,101,0,0,0,0,0,152,0,46,0,14,12,202,0,477,70,5,9,0,0,0,465,0,27,0,259,319,42,1,0,11,0,0,0,108,478,0,177,287,0,2,0,173,340,0,0,176,0,345,0,155,0,0,42,0,28,0,103,0,293,38,0,0,547,211,0,0,0,0,186,0,0,0,0,36,4594,595,65,0,0,2,0,6,0,0,0,161,12436,0,0,5,0,0,199,0,350,0,10,0,198,0,42,3,0,0,217,0,174,0,0,0,195,576,132,91,0,0
0,0,0,0,470,62,0,4669,0,0,0,0,0,119,342,2,0,251,0,221,0,810,104,0,0,0,0,0,0,0,0,0,0,0,0,162,0,134,0,0,3689,0,231,117,199,111,0,0,0,16,0,11,119,0,55,0,226,0,41,0,0,7,1,0,448,77,9,0,0,0,160,0,0,0,0,17,0,13,0,1,0,0,219,218,0,0,0,153,0,49,0,0,40,250,0,0,0,9,0,145,0,1,5,0,1,0,0,0,0,0,31,0,0,8,0,206,0,0,0,136,0,0,1,246,0,0,67,0,45,0,19,0,4,0,92,191,0,0,110,60,0,15,0,0,0,658,0,207,0,29,56,109,3,538,186,10,38,32,0,0,446,0,34,12,140,405,65,0,0,27,0,0,0,94,679,0,76,22,0,23,0,42,200,0,0,120,0,469,0,22,0,0,68,0,54,0,26,2,369,191,16,0,66,264,0,0,0,0,98,0,0,0,62,143,0,946,49,0,2,1720,0,1739,0,0,0,130,0,5,0,7,0,0,284,0,197,1,39,3,163,3,148,5,3,0,83,1,153,1,28,0,263,891,47,48,0,0
